timestamp,mode,armed,roll_deg,pitch_deg,yaw_deg,rollspeed,pitchspeed,yawspeed,x,y,z,vx,vy,vz,speed_h,altitude_agl,battery_pct,battery_v,current_a0,current_a1,voltage_s1,voltage_s2,relay,distance_m
2026-03-26 16:41:26.873,POSCTL,False,0.176,-2.274,355.164,-0.0006,0.0003,-0.0002,0.0001,-0.0029,-0.0292,-0.0012,-0.0,0.0019,0.001,0.029,86,16.147,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 16:41:27.877,POSCTL,True,0.177,-2.274,355.159,0.0021,-0.0024,-0.013,0.0001,-0.0036,-0.0291,0.0006,0.0001,0.0016,0.001,0.029,86,16.147,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 16:41:28.881,POSCTL,True,0.191,-2.278,354.959,0.0071,0.0042,-0.0049,0.0006,-0.0033,-0.0299,0.0004,0.0009,0.0001,0.001,0.03,87,16.155,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 16:41:29.889,PX4_0,False,0.182,-2.277,355.011,-0.0124,0.0109,0.012,0.0003,-0.0029,-0.0307,-0.0008,0.0011,-0.0011,0.001,0.031,87,16.155,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 16:41:30.896,PX4_0,False,0.187,-2.277,354.98,0.0085,-0.0032,0.0023,0.0001,-0.0042,-0.03,-0.0009,0.0007,-0.0,0.001,0.03,87,16.156,0.0,0.0,0.0,0.03,ON,0.01
2026-03-26 16:41:31.908,PX4_0,False,-0.467,-0.974,349.989,-0.0087,0.0506,-0.072,-0.0402,0.0147,-0.6712,-0.0915,0.0531,-1.3669,0.106,0.671,73,15.43,0.0,0.0,0.0,0.03,ON,0.61
2026-03-26 16:41:32.918,PX4_0,False,-0.231,-1.237,346.796,0.0081,-0.0835,-0.0723,-0.0802,0.0118,-1.2144,-0.0384,0.0388,-0.3516,0.055,1.214,73,15.43,0.0,0.0,0.0,0.03,ON,1.19
2026-03-26 16:41:33.925,PX4_0,False,-0.827,-1.83,344.621,-0.0748,0.0621,-0.0262,-0.1219,0.086,-1.4699,0.0086,0.0355,-0.1761,0.037,1.47,66,15.081,0.0,0.0,0.0,0.03,ON,1.46
2026-03-26 16:41:34.933,PX4_0,False,-1.339,-1.926,342.936,-0.0553,-0.0642,-0.021,-0.1212,0.179,-1.5863,0.0262,-0.036,-0.0821,0.045,1.586,66,15.081,0.0,0.0,0.0,0.03,ON,1.57
2026-03-26 16:41:35.941,PX4_0,False,-0.967,-1.88,342.519,-0.025,-0.0262,-0.0105,-0.1081,0.1712,-1.6396,0.0382,-0.0907,-0.0465,0.098,1.64,64,14.98,0.0,0.0,0.0,0.03,ON,1.63
